Interval=	0.001 s
ExcelDateTime=	4.1731583409617189e+004	4/2/2014 14:00:06.590925
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	20.000 mV
178.974	-7.82375
178.975	-7.82375
178.976	-7.823125
178.977	-7.8225
178.978	-7.8225
178.979	-7.821875
178.98	-7.82125
178.981	-7.82125
178.982	-7.820625
178.983	-7.820625
178.984	-7.82
178.985	-7.82
178.986	-7.82
178.987	-7.819375
178.988	-7.819375
178.989	-7.819375
178.99	-7.819375
178.991	-7.819375
178.992	-7.819375
178.993	-7.819375
178.994	-7.819375
178.995	-7.819375
178.996	-7.82
178.997	-7.82
178.998	-7.82
178.999	-7.82
179	-7.82
179.001	-7.82
179.002	-7.820625
179.003	-7.820625
179.004	-7.820625
179.005	-7.820625
179.006	-7.820625
179.007	-7.820625
179.008	-7.82125
179.009	-7.82125
179.01	-7.82125
179.011	-7.82125
179.012	-7.821875
179.013	-7.821875
179.014	-7.821875
179.015	-7.8225
179.016	-7.8225
179.017	-7.8225
179.018	-7.823125
179.019	-7.823125
179.02	-7.82375
179.021	-7.82375
179.022	-7.82375
179.023	-7.82375
179.024	-7.824375
179.025	-7.824375
179.026	-7.82375
179.027	-7.82375
179.028	-7.82375
179.029	-7.82375
179.03	-7.82375
179.031	-7.82375
179.032	-7.82375
179.033	-7.823125
179.034	-7.823125
179.035	-7.823125
179.036	-7.823125
179.037	-7.823125
179.038	-7.823125
179.039	-7.823125
179.04	-7.8225
179.041	-7.8225
179.042	-7.8225
179.043	-7.8225
179.044	-7.8225
179.045	-7.8225
179.046	-7.823125
179.047	-7.823125
179.048	-7.823125
179.049	-7.82375
179.05	-7.824375
179.051	-7.825
179.052	-7.825
179.053	-7.825
179.054	-7.825625
179.055	-7.825625
179.056	-7.825625
179.057	-7.825625
179.058	-7.825625
179.059	-7.825
179.06	-7.824375
179.061	-7.82375
179.062	-7.8225
179.063	-7.820625
179.064	-7.81875
179.065	-7.81625
179.066	-7.81375
179.067	-7.81125
179.068	-7.80875
179.069	-7.805625
179.07	-7.801875
179.071	-7.79875
179.072	-7.794375
179.073	-7.79125
179.074	-7.786875
179.075	-7.7825
179.076	-7.778125
179.077	-7.77375
179.078	-7.769375
179.079	-7.765
179.08	-7.76
179.081	-7.755
179.082	-7.75
179.083	-7.745
179.084	-7.74
179.085	-7.735
179.086	-7.73
179.087	-7.725
179.088	-7.719375
179.089	-7.714375
179.09	-7.70875
179.091	-7.70375
179.092	-7.69875
179.093	-7.69375
179.094	-7.68875
179.095	-7.68375
179.096	-7.67875
179.097	-7.67375
179.098	-7.669375
179.099	-7.665
179.1	-7.66
179.101	-7.655625
179.102	-7.65125
179.103	-7.646875
179.104	-7.643125
179.105	-7.63875
179.106	-7.634375
179.107	-7.63125
179.108	-7.626875
179.109	-7.623125
179.11	-7.62
179.111	-7.615625
179.112	-7.6125
179.113	-7.609375
179.114	-7.605625
179.115	-7.603125
179.116	-7.600625
179.117	-7.598125
179.118	-7.595625
179.119	-7.59375
179.12	-7.591875
179.121	-7.59
179.122	-7.58875
179.123	-7.588125
179.124	-7.586875
179.125	-7.58625
179.126	-7.585625
179.127	-7.585
179.128	-7.585
179.129	-7.585
179.13	-7.584375
179.131	-7.584375
179.132	-7.584375
179.133	-7.584375
179.134	-7.584375
179.135	-7.584375
179.136	-7.585
179.137	-7.585
179.138	-7.585
179.139	-7.585
179.14	-7.585
179.141	-7.585
179.142	-7.585625
179.143	-7.58625
179.144	-7.586875
179.145	-7.5875
179.146	-7.588125
179.147	-7.58875
179.148	-7.589375
179.149	-7.590625
179.15	-7.590625
179.151	-7.591875
179.152	-7.5925
179.153	-7.5925
179.154	-7.59375
179.155	-7.59375
179.156	-7.594375
179.157	-7.595
179.158	-7.595
179.159	-7.595625
179.16	-7.595625
179.161	-7.595625
179.162	-7.595625
179.163	-7.595625
179.164	-7.595625
179.165	-7.595625
179.166	-7.595625
179.167	-7.595
179.168	-7.595
179.169	-7.595
179.17	-7.594375
179.171	-7.59375
179.172	-7.593125
179.173	-7.5925
179.174	-7.591875
179.175	-7.59125
179.176	-7.590625
179.177	-7.589375
179.178	-7.589375
179.179	-7.588125
179.18	-7.5875
179.181	-7.5875
179.182	-7.58625
179.183	-7.58625
179.184	-7.58625
179.185	-7.585625
179.186	-7.585625
179.187	-7.585625
179.188	-7.585625
179.189	-7.585625
179.19	-7.585625
179.191	-7.585625
179.192	-7.58625
179.193	-7.586875
179.194	-7.586875
179.195	-7.5875
179.196	-7.588125
179.197	-7.58875
179.198	-7.589375
179.199	-7.589375
179.2	-7.59
179.201	-7.590625
179.202	-7.59125
179.203	-7.59125
179.204	-7.5925
179.205	-7.5925
179.206	-7.5925
179.207	-7.593125
179.208	-7.59375
179.209	-7.59375
179.21	-7.59375
179.211	-7.594375
179.212	-7.594375
179.213	-7.594375
179.214	-7.594375
179.215	-7.594375
179.216	-7.594375
179.217	-7.594375
179.218	-7.59375
179.219	-7.59375
179.22	-7.59375
179.221	-7.59375
179.222	-7.59375
179.223	-7.59375
179.224	-7.59375
179.225	-7.59375
179.226	-7.59375
179.227	-7.594375
179.228	-7.594375
179.229	-7.594375
179.23	-7.594375
179.231	-7.594375
