Frequency(Hz)	Channel 1(V)	
0	0.022674	
0.00488281	0.0317952	
0.00976563	0.0309915	
0.0146484	0.0296789	
0.0195313	0.0278969	
0.0244141	0.0256986	
0.0292969	0.0231491	
0.0341797	0.0203232	
0.0390625	0.0173025	
0.0439453	0.0141728	
0.0488281	0.0110213	
0.0537109	0.00793309	
0.0585938	0.0049889	
0.0634766	0.00226235	
0.0683594	0.000201075	
0.0732422	0.00230054	
0.078125	0.004042	
0.0830078	0.00538723	
0.0878906	0.00632559	
0.0927734	0.00686101	
0.0976563	0.00701119	
0.102539	0.00680641	
0.107422	0.00628794	
0.112305	0.00550607	
0.117188	0.0045179	
0.12207	0.00338493	
0.126953	0.00217105	
0.131836	0.000943998	
0.136719	0.000324471	
0.141602	0.00138834	
0.146484	0.00235112	
0.151367	0.0031414	
0.15625	0.00372994	
0.161133	0.00409978	
0.166016	0.00424526	
0.170898	0.00417146	
0.175781	0.00389345	
0.180664	0.00343528	
0.185547	0.00282853	
0.19043	0.00211115	
0.195313	0.00132761	
0.200195	0.000548193	
0.205078	0.000436106	
0.209961	0.00113418	
0.214844	0.00179667	
0.219727	0.00235023	
0.224609	0.00276669	
0.229492	0.00302922	
0.234375	0.00313001	
0.239258	0.0030698	
0.244141	0.00285741	
0.249023	0.00250922	
0.253906	0.0020484	
0.258789	0.0015049	
0.263672	0.000919882	
0.268555	0.000404591	
0.273438	0.000532897	
0.27832	0.00105516	
0.283203	0.00155734	
0.288086	0.00197797	
0.292969	0.00229146	
0.297852	0.00248292	
0.302734	0.00254534	
0.307617	0.00247896	
0.3125	0.00229097	
0.317383	0.00199519	
0.322266	0.00161196	
0.327148	0.00116971	
0.332031	0.000716914	
0.336914	0.000417039	
0.341797	0.000614448	
0.34668	0.00102212	
0.351563	0.00141663	
0.356445	0.00174486	
0.361328	0.00198337	
0.366211	0.0021192	
0.371094	0.00214667	
0.375977	0.00206667	
0.380859	0.00188637	
0.385742	0.00161914	
0.390625	0.00128527	
0.395508	0.000916316	
0.400391	0.000579662	
0.405273	0.000473317	
0.410156	0.000710119	
0.415039	0.00104779	
0.419922	0.00136582	
0.424805	0.0016241	
0.429688	0.00180294	
0.43457	0.00189177	
0.439453	0.0018867	
0.444336	0.00178986	
