Frequency(Hz)	Channel 1(V)	
0	0.436488	
4.88281	3.31061	
9.76563	0.40175	
14.6484	0.198893	
19.5313	0.134725	
24.4141	0.10277	
29.2969	0.0834214	
34.1797	0.0706151	
39.0625	0.0613053	
43.9453	0.0539258	
48.8281	0.0485973	
53.7109	0.0438311	
58.5938	0.0402454	
63.4766	0.0369232	
68.3594	0.0342991	
73.2422	0.0319015	
78.125	0.0298822	
83.0078	0.0281226	
87.8906	0.0265016	
92.7734	0.0251537	
97.6563	0.0238106	
102.539	0.0230317	
107.422	0.0216539	
112.305	0.0204318	
117.188	0.0198845	
122.07	0.0190899	
126.953	0.0183211	
131.836	0.0176333	
136.719	0.017011	
141.602	0.0164165	
146.484	0.0158729	
151.367	0.0153461	
156.25	0.0148737	
161.133	0.0144086	
166.016	0.0139938	
170.898	0.0135873	
175.781	0.0132092	
180.664	0.0128489	
185.547	0.0125082	
190.43	0.0121903	
195.313	0.0118772	
200.195	0.0115946	
205.078	0.0113124	
209.961	0.011094	
214.844	0.0107983	
219.727	0.0105227	
224.609	0.0103362	
229.492	0.0101123	
234.375	0.00990124	
239.258	0.00969924	
244.141	0.00950285	
249.023	0.00931772	
253.906	0.00913658	
258.789	0.00896641	
263.672	0.00879897	
268.555	0.00863371	
273.438	0.00848567	
278.32	0.00833275	
283.203	0.00819053	
288.086	0.00805196	
292.969	0.00791644	
297.852	0.0077837	
302.734	0.00765916	
307.617	0.00754154	
312.5	0.00742098	
317.383	0.00731438	
322.266	0.00719637	
327.148	0.00708153	
332.031	0.00698471	
336.914	0.00688504	
341.797	0.0067849	
346.68	0.00668914	
351.563	0.00659578	
356.445	0.00650268	
361.328	0.00641721	
366.211	0.00634439	
371.094	0.00624938	
375.977	0.00615955	
380.859	0.00608977	
385.742	0.00601191	
390.625	0.00593773	
395.508	0.00586256	
400.391	0.005792	
405.273	0.00572315	
410.156	0.00565435	
415.039	0.00558686	
419.922	0.00552349	
424.805	0.0054512	
429.688	0.00539742	
434.57	0.00534478	
439.453	0.0052756	
444.336	0.00521619	
449.219	0.00516147	
454.102	0.00510721	
458.984	0.00505227	
463.867	0.00499839	
468.75	0.004947	
473.633	0.00488575	
478.516	0.00484609	
483.398	0.00480593	
488.281	0.00474745	
493.164	0.00470152	
498.047	0.00465508	
502.93	0.00461087	
507.813	0.00456553	
512.695	0.00452101	
517.578	0.00447959	
522.461	0.00444095	
527.344	0.0043969	
532.227	0.00435241	
537.109	0.00431795	
541.992	0.0042816	
546.875	0.00423983	
551.758	0.00420107	
556.641	0.00416519	
561.523	0.00413014	
566.406	0.00409395	
571.289	0.00405642	
576.172	0.00402443	
581.055	0.00398992	
585.938	0.00395718	
590.82	0.0039285	
595.703	0.00389176	
600.586	0.00386235	
605.469	0.00382922	
610.352	0.00379842	
615.234	0.0037688	
620.117	0.00374084	
625	0.00371038	
629.883	0.00367729	
634.766	0.0036532	
639.648	0.00362566	
644.531	0.00359777	
649.414	0.00357058	
654.297	0.00354377	
659.18	0.00351766	
664.063	0.00349136	
668.945	0.00346555	
673.828	0.00344086	
678.711	0.00341739	
683.594	0.00339184	
688.477	0.00336749	
693.359	0.00334393	
698.242	0.00331918	
703.125	0.00329815	
708.008	0.00327632	
712.891	0.00325239	
717.773	0.00323024	
722.656	0.00320828	
727.539	0.00318614	
732.422	0.00316594	
737.305	0.00314798	
742.188	0.00312493	
747.07	0.00310162	
751.953	0.00308434	
756.836	0.00306495	
761.719	0.00304495	
766.602	0.00302345	
771.484	0.00300607	
776.367	0.00298755	
781.25	0.00296826	
786.133	0.00295219	
791.016	0.00293274	
795.898	0.00290532	
800.781	0.00289606	
805.664	0.00288366	
810.547	0.00286087	
815.43	0.00284358	
820.313	0.00282672	
825.195	0.00281045	
830.078	0.00279345	
834.961	0.00277775	
839.844	0.00276145	
844.727	0.00274533	
849.609	0.00273026	
854.492	0.00271461	
859.375	0.00269907	
864.258	0.00268287	
869.141	0.00266862	
874.023	0.00265527	
878.906	0.0026391	
883.789	0.00262443	
888.672	0.00261012	
893.555	0.00259687	
898.438	0.00258244	
903.32	0.00256437	
908.203	0.0025539	
913.086	0.00254436	
917.969	0.00252645	
922.852	0.00251402	
927.734	0.00250007	
932.617	0.00248733	
937.5	0.00247397	
942.383	0.00246093	
947.266	0.00244864	
952.148	0.00243599	
957.031	0.00242417	
961.914	0.00241263	
966.797	0.00239964	
971.68	0.00238689	
976.563	0.00237527	
981.445	0.00236373	
986.328	0.00235197	
991.211	0.00234064	
996.094	0.00232889	
1000.98	0.00231706	
1005.86	0.00230656	
1010.74	0.00229526	
1015.63	0.00228446	
1020.51	0.00227368	
1025.39	0.00226239	
1030.27	0.00225207	
1035.16	0.00224141	
1040.04	0.00223123	
1044.92	0.00222037	
1049.8	0.0022102	
1054.69	0.0021999	
1059.57	0.00218986	
1064.45	0.00218014	
1069.34	0.00217008	
1074.22	0.00216046	
1079.1	0.00215006	
1083.98	0.00214027	
1088.87	0.00213109	
1093.75	0.0021215	
1098.63	0.00211159	
1103.52	0.002103	
1108.4	0.00209388	
1113.28	0.00208432	
1118.16	0.00207255	
1123.05	0.00206645	
1127.93	0.00206051	
1132.81	0.00204791	
1137.7	0.0020396	
1142.58	0.00203076	
1147.46	0.00202211	
1152.34	0.00201371	
1157.23	0.00200464	
1162.11	0.00199674	
1166.99	0.00198889	
1171.88	0.00198056	
1176.76	0.0019706	
1181.64	0.00196447	
1186.52	0.00195647	
1191.41	0.001948	
1196.29	0.00194114	
1201.17	0.00193185	
1206.05	0.00192488	
1210.94	0.00191705	
1215.82	0.00190723	
1220.7	0.00190125	
1225.59	0.00189632	
1230.47	0.00188639	
1235.35	0.00187843	
1240.23	0.00187159	
1245.12	0.00186455	
1250	0.0018569	
1254.88	0.00185092	
1259.77	0.00184272	
1264.65	0.00183391	
1269.53	0.00182849	
1274.41	0.0018234	
1279.3	0.0018146	
1284.18	0.00180692	
1289.06	0.00180091	
1293.95	0.00179435	
1298.83	0.00178742	
1303.71	0.00178083	
1308.59	0.00177388	
1313.48	0.00176768	
1318.36	0.00176119	
1323.24	0.00175248	
1328.13	0.00174798	
1333.01	0.00174444	
1337.89	0.00173525	
1342.77	0.00172653	
1347.66	0.00172287	
1352.54	0.00171652	
1357.42	0.00171032	
1362.3	0.0017032	
1367.19	0.00169818	
1372.07	0.00169156	
1376.95	0.00168633	
1381.84	0.00168323	
1386.72	0.00167457	
1391.6	0.00166683	
1396.48	0.00166314	
1401.37	0.00165715	
1406.25	0.00165156	
1411.13	0.00164559	
1416.02	0.0016401	
1420.9	0.00163383	
1425.78	0.00162863	
1430.66	0.00162325	
1435.55	0.0016178	
1440.43	0.0016116	
1445.31	0.0016068	
1450.2	0.0016018	
1455.08	0.00159614	
1459.96	0.00159109	
1464.84	0.00158544	
1469.73	0.00158076	
1474.61	0.00157489	
1479.49	0.00156902	
1484.38	0.00156497	
1489.26	0.00155962	
1494.14	0.00155445	
1499.02	0.00154983	
1503.91	0.00154425	
1508.79	0.00153926	
1513.67	0.00153445	
1518.55	0.00152963	
1523.44	0.00152456	
1528.32	0.00152068	
1533.2	0.00151489	
1538.09	0.00151091	
1542.97	0.00150562	
1547.85	0.00150157	
1552.73	0.00149622	
1557.62	0.00148998	
1562.5	0.00148694	
1567.38	0.00148279	
1572.27	0.00147776	
1577.15	0.00147411	
1582.03	0.0014686	
1586.91	0.00146373	
1591.8	0.00145955	
1596.68	0.00145699	
1601.56	0.00145052	
1606.45	0.0014462	
1611.33	0.00144212	
1616.21	0.00143819	
1621.09	0.00143341	
1625.98	0.00142989	
1630.86	0.00142494	
1635.74	0.00142079	
1640.63	0.00141633	
1645.51	0.00141212	
1650.39	0.0014082	
1655.27	0.00140399	
1660.16	0.0013998	
1665.04	0.0013958	
1669.92	0.00139174	
1674.8	0.00138706	
1679.69	0.00138371	
1684.57	0.00137969	
1689.45	0.00137553	
1694.34	0.00137164	
1699.22	0.00136762	
1704.1	0.00136574	
1708.98	0.00136	
1713.87	0.00135391	
1718.75	0.00135251	
1723.63	0.00134851	
1728.52	0.00134489	
1733.4	0.00134145	
1738.28	0.0013374	
1743.16	0.00133431	
1748.05	0.00132994	
1752.93	0.00132611	
1757.81	0.00132248	
1762.7	0.00132017	
1767.58	0.00131552	
1772.46	0.00131094	
1777.34	0.00130826	
1782.23	0.00130494	
1787.11	0.00130097	
1791.99	0.00129924	
1796.88	0.00129397	
1801.76	0.00128996	
1806.64	0.00128694	
1811.52	0.00128359	
1816.41	0.00128005	
1821.29	0.00127601	
1826.17	0.00127348	
1831.05	0.0012699	
1835.94	0.00126665	
1840.82	0.00126441	
1845.7	0.00125998	
1850.59	0.0012575	
1855.47	0.0012533	
1860.35	0.00124907	
1865.23	0.00124671	
1870.12	0.0012437	
1875	0.00124037	
1879.88	0.00123759	
1884.77	0.00123403	
1889.65	0.00123061	
1894.53	0.00122751	
1899.41	0.00122484	
1904.3	0.00122121	
1909.18	0.0012177	
1914.06	0.0012151	
1918.95	0.00121302	
1923.83	0.00120941	
1928.71	0.00120464	
1933.59	0.00120328	
1938.48	0.00120099	
1943.36	0.0011973	
1948.24	0.00119377	
1953.13	0.00119129	
1958.01	0.00118835	
1962.89	0.00118535	
1967.77	0.00118224	
1972.66	0.00117948	
1977.54	0.00117619	
1982.42	0.00117364	
1987.3	0.00117117	
1992.19	0.00116811	
1997.07	0.00116573	
2001.95	0.00116235	
2006.84	0.00115837	
2011.72	0.00115679	
2016.6	0.00115448	
2021.48	0.0011511	
2026.37	0.00114926	
2031.25	0.00114573	
2036.13	0.00114106	
2041.02	0.00114038	
2045.9	0.00113699	
2050.78	0.00113491	
2055.66	0.00113244	
2060.55	0.00112955	
2065.43	0.0011269	
2070.31	0.00112433	
2075.2	0.00112274	
2080.08	0.001119	
2084.96	0.00111628	
2089.84	0.0011139	
2094.73	0.00111157	
2099.61	0.0011089	
2104.49	0.00110507	
2109.38	0.00110368	
2114.26	0.00110137	
2119.14	0.0010983	
2124.02	0.00109506	
2128.91	0.00109377	
2133.79	0.00109015	
2138.67	0.00108873	
2143.55	0.0010861	
2148.44	0.00108374	
2153.32	0.00108058	
2158.2	0.00107877	
2163.09	0.00107653	
2167.97	0.00107402	
2172.85	0.00107216	
2177.73	0.00106936	
2182.62	0.00106729	
2187.5	0.00106459	
2192.38	0.00106149	
2197.27	0.00106006	
2202.15	0.00105719	
2207.03	0.00105526	
2211.91	0.00105235	
2216.8	0.00105083	
2221.68	0.00104901	
2226.56	0.00104594	
2231.45	0.00104372	
2236.33	0.00104149	
2241.21	0.00103926	
2246.09	0.00103699	
2250.98	0.00103451	
2255.86	0.0010325	
2260.74	0.00103051	
2265.63	0.00102817	
2270.51	0.00102597	
2275.39	0.00102413	
2280.27	0.00102115	
2285.16	0.00101955	
2290.04	0.00101735	
2294.92	0.00101519	
2299.8	0.00101291	
2304.69	0.00101104	
2309.57	0.00100892	
2314.45	0.00100676	
2319.34	0.0010044	
2324.22	0.00100265	
2329.1	0.000999872	
2333.98	0.000998422	
2338.87	0.000996472	
2343.75	0.000994309	
2348.63	0.00099312	
2353.52	0.000990157	
2358.4	0.000987532	
2363.28	0.000986004	
2368.16	0.000984087	
2373.05	0.000982121	
2377.93	0.000979464	
2382.81	0.000978063	
2387.7	0.000977329	
2392.58	0.0009741	
2397.46	0.000971572	
2402.34	0.000970399	
2407.23	0.000968409	
2412.11	0.000966806	
2416.99	0.00096383	
2421.88	0.000962876	
2426.76	0.000960021	
2431.64	0.00095896	
2436.52	0.000956818	
2441.41	0.000955033	
2446.29	0.000953452	
2451.17	0.000951512	
2456.05	0.000949744	
2460.94	0.000947603	
2465.82	0.00094533	
2470.7	0.000943779	
2475.59	0.000941758	
2480.47	0.000940064	
2485.35	0.00093967	
2490.23	0.000936457	
2495.12	0.000934346	
2500	0.000932916	
2504.88	0.000930275	
2509.77	0.000929462	
2514.65	0.000928216	
2519.53	0.000925694	
2524.41	0.000923738	
2529.3	0.000922413	
2534.18	0.000921736	
2539.06	0.000918717	
2543.95	0.000917187	
2548.83	0.00091522	
2553.71	0.000914081	
2558.59	0.000911842	
2563.48	0.000909504	
2568.36	0.000908401	
2573.24	0.000906998	
2578.13	0.000904944	
2583.01	0.000903556	
2587.89	0.00090161	
2592.77	0.000900083	
2597.66	0.000898248	
2602.54	0.000896465	
2607.42	0.000894902	
2612.3	0.000893875	
2617.19	0.000891922	
2622.07	0.000889143	
2626.95	0.000888491	
2631.84	0.000886585	
2636.72	0.000885404	
2641.6	0.000884317	
2646.48	0.000882064	
2651.37	0.00088027	
2656.25	0.000878792	
2661.13	0.000876831	
2666.02	0.000875687	
2670.9	0.000873525	
2675.78	0.000872516	
2680.66	0.000870846	
2685.55	0.000869146	
2690.43	0.000867161	
2695.31	0.000866127	
2700.2	0.000865265	
2705.08	0.000863087	
2709.96	0.000861942	
2714.84	0.000859894	
2719.73	0.000859455	
2724.61	0.00085733	
2729.49	0.000853848	
2734.38	0.000854254	
2739.26	0.000852687	
2744.14	0.000851314	
2749.02	0.000849936	
2753.91	0.000848199	
2758.79	0.000846221	
2763.67	0.000845224	
2768.55	0.000843661	
2773.44	0.000842272	
2778.32	0.000840185	
2783.2	0.00083945	
2788.09	0.000837877	
2792.97	0.000836418	
2797.85	0.000834411	
2802.73	0.000833476	
2807.62	0.000831807	
2812.5	0.000830666	
2817.38	0.000829526	
2822.27	0.000827808	
2827.15	0.000827199	
2832.03	0.000825271	
2836.91	0.000822102	
2841.8	0.000822407	
2846.68	0.000821779	
2851.56	0.000819514	
2856.45	0.000818292	
2861.33	0.00081677	
2866.21	0.000815021	
2871.09	0.000814203	
2875.98	0.000813149	
2880.86	0.000811313	
2885.74	0.00080865	
2890.63	0.000808493	
2895.51	0.000808036	
2900.39	0.00080594	
2905.27	0.000804739	
2910.16	0.000803049	
2915.04	0.000802117	
2919.92	0.000800395	
2924.8	0.00079942	
2929.69	0.000797889	
2934.57	0.000797279	
2939.45	0.000795497	
2944.34	0.000793825	
2949.22	0.000792929	
2954.1	0.000791948	
2958.98	0.000790402	
2963.87	0.000789352	
2968.75	0.000787785	
2973.63	0.000786258	
2978.52	0.000785214	
2983.4	0.000784265	
2988.28	0.000782797	
2993.16	0.000781466	
2998.05	0.000780284	
3002.93	0.000778913	
3007.81	0.000777749	
3012.7	0.000776001	
3017.58	0.000775185	
3022.46	0.000774971	
3027.34	0.000772698	
3032.23	0.000771061	
3037.11	0.000770476	
3041.99	0.000770182	
3046.88	0.000767865	
3051.76	0.000765959	
3056.64	0.000765604	
3061.52	0.000764437	
3066.41	0.000763021	
3071.29	0.00076224	
3076.17	0.000760865	
3081.05	0.000759943	
3085.94	0.00075838	
3090.82	0.000756898	
3095.7	0.000756069	
3100.59	0.000755939	
3105.47	0.000753716	
3110.35	0.000752621	
3115.23	0.000751508	
3120.12	0.000749209	
3125	0.000749308	
3129.88	0.000748065	
3134.77	0.00074686	
3139.65	0.000745634	
3144.53	0.000744712	
3149.41	0.000743704	
3154.3	0.000742231	
3159.18	0.000741166	
3164.06	0.00074004	
3168.95	0.000739183	
3173.83	0.000737717	
3178.71	0.000737021	
3183.59	0.00073546	
3188.48	0.000734723	
3193.36	0.000733499	
3198.24	0.000732608	
3203.13	0.000731299	
3208.01	0.000730463	
3212.89	0.000729081	
3217.77	0.000727597	
3222.66	0.000727015	
