Frequency(Hz)	Channel 1(V)	
0	0.327148	
0.305176	0.0751651	
0.610352	0.0764494	
0.915527	0.0778756	
1.2207	0.0811422	
1.52588	0.0852345	
1.83105	0.0902622	
2.13623	0.09745	
2.44141	0.105753	
2.74658	0.117264	
3.05176	0.130727	
3.35693	0.150791	
3.66211	0.176244	
3.96729	0.214345	
4.27246	0.274357	
4.57764	0.379855	
4.88281	0.615896	
5.18799	1.62278	
5.49316	2.60682	
5.79834	0.727478	
6.10352	0.424188	
6.40869	0.300346	
6.71387	0.233339	
7.01904	0.191034	
7.32422	0.161485	
7.62939	0.140781	
7.93457	0.124139	
8.23975	0.11176	
8.54492	0.101304	
8.8501	0.0929902	
9.15527	0.0859676	
9.46045	0.079731	
9.76563	0.0745813	
10.0708	0.0699139	
10.376	0.0667988	
10.6812	0.113323	
10.9863	0.071223	
11.2915	0.0605202	
11.5967	0.0567003	
11.9019	0.0536217	
12.207	0.0511067	
12.5122	0.0490573	
12.8174	0.0470945	
13.1226	0.0453971	
13.4277	0.0437666	
13.7329	0.042299	
14.0381	0.0408608	
14.3433	0.0396166	
14.6484	0.0384302	
14.9536	0.0372953	
15.2588	0.0362072	
15.564	0.0351842	
15.8691	0.0344821	
16.1743	0.0511065	
16.4795	0.0339229	
16.7847	0.0323767	
17.0898	0.0315164	
17.395	0.0307105	
17.7002	0.0300383	
18.0054	0.0293365	
18.3105	0.028633	
18.6157	0.0280618	
18.9209	0.027477	
19.2261	0.0269187	
19.5313	0.0263573	
19.8364	0.0258575	
20.1416	0.0253048	
20.4468	0.024799	
20.752	0.0242609	
21.0571	0.0236771	
21.3623	0.0246337	
21.6675	0.0280381	
21.9727	0.0242377	
22.2778	0.0232986	
22.583	0.0227047	
22.8882	0.0222627	
23.1934	0.0218902	
23.4985	0.0215182	
23.8037	0.0211828	
24.1089	0.0208404	
24.4141	0.0205137	
24.7192	0.0202247	
25.0244	0.0199463	
25.3296	0.019659	
25.6348	0.0193786	
25.9399	0.0191187	
26.2451	0.0188748	
26.5503	0.018616	
26.8555	0.0189556	
27.1606	0.0181392	
27.4658	0.0179061	
27.771	0.0177037	
28.0762	0.0175065	
28.3813	0.0172716	
28.6865	0.0170593	
28.9917	0.0168656	
29.2969	0.0166819	
29.6021	0.0164915	
29.9072	0.0162973	
30.2124	0.016116	
30.5176	0.0159392	
30.8228	0.0157707	
31.1279	0.0155963	
31.4331	0.0154305	
31.7383	0.0152353	
32.0435	0.0151048	
32.3486	0.015683	
32.6538	0.014972	
32.959	0.0147339	
33.2642	0.0145692	
33.5693	0.014415	
33.8745	0.0142772	
34.1797	0.0141467	
34.4849	0.0140065	
34.79	0.0138713	
35.0952	0.0137466	
35.4004	0.0136237	
35.7056	0.0135011	
36.0107	0.013394	
36.3159	0.013285	
36.6211	0.0131921	
36.9263	0.0131116	
37.2314	0.0130924	
37.5366	0.0145426	
37.8418	0.012444	
38.147	0.0124406	
38.4521	0.012378	
38.7573	0.0122851	
39.0625	0.0121815	
39.3677	0.0120843	
39.6729	0.0120047	
39.978	0.0119021	
40.2832	0.0118181	
40.5884	0.0117239	
40.8936	0.0116324	
41.1987	0.0115476	
41.5039	0.0114623	
41.8091	0.0113762	
42.1143	0.0112875	
42.4194	0.0112098	
42.7246	0.0111513	
43.0298	0.0108245	
43.335	0.0109627	
43.6401	0.0108624	
43.9453	0.0107758	
44.2505	0.010706	
44.5557	0.010632	
44.8608	0.0105539	
45.166	0.0104744	
45.4712	0.0104009	
45.7764	0.0103272	
46.0815	0.0102556	
46.3867	0.0101795	
46.6919	0.0101063	
46.9971	0.0100349	
47.3022	0.00996111	
47.6074	0.00986765	
47.9126	0.00975669	
48.2178	0.00984732	
48.5229	0.0108125	
48.8281	0.00990942	
49.1333	0.00974264	
49.4385	0.00963646	
49.7437	0.00955006	
50.0488	0.00947514	
50.354	0.00941505	
50.6592	0.00935544	
50.9644	0.0092833	
51.2695	0.00922981	
51.5747	0.00916638	
51.8799	0.00911559	
52.1851	0.00905821	
52.4902	0.00900045	
52.7954	0.00894996	
53.1006	0.00889848	
53.4058	0.00885345	
53.7109	0.0088439	
54.0161	0.00870469	
54.3213	0.00866055	
54.6265	0.0086194	
54.9316	0.00857044	
55.2368	0.00851827	
55.542	0.00846538	
55.8472	0.00841946	
56.1523	0.0083674	
56.4575	0.00831784	
56.7627	0.00826802	
57.0679	0.00821904	
57.373	0.00816375	
57.6782	0.00811073	
57.9834	0.00804681	
58.2886	0.00798067	
58.5938	0.00784165	
58.8989	0.00765662	
59.2041	0.00952886	
59.5093	0.00822163	
59.8145	0.00803642	
60.1196	0.00794638	
60.4248	0.00785826	
60.73	0.00781529	
61.0352	0.0077699	
61.3403	0.00771959	
61.6455	0.00766821	
61.9507	0.00762574	
62.2559	0.00758562	
62.561	0.00754303	
62.8662	0.00751151	
63.1714	0.00746777	
63.4766	0.00743235	
63.7817	0.00739422	
64.0869	0.00736055	
64.3921	0.00733149	
64.6973	0.00728045	
65.0024	0.00723216	
65.3076	0.00720946	
65.6128	0.00717489	
65.918	0.00714041	
66.2231	0.00710271	
66.5283	0.00707258	
66.8335	0.00703935	
67.1387	0.00700138	
67.4438	0.00697041	
67.749	0.00693817	
68.0542	0.00690691	
68.3594	0.0068755	
68.6646	0.0068393	
68.9697	0.00680227	
69.2749	0.00676991	
69.5801	0.00676768	
69.8853	0.00760002	
70.1904	0.00683416	
70.4956	0.00671062	
70.8008	0.00665465	
71.106	0.00662349	
71.4111	0.00659699	
71.7163	0.00656357	
72.0215	0.00653075	
72.3267	0.00650488	
72.6318	0.00647052	
72.937	0.00644877	
73.2422	0.00642075	
73.5474	0.00638894	
73.8525	0.00636172	
74.1577	0.00633671	
74.4629	0.00631493	
74.7681	0.00628114	
75.0732	0.00624804	
75.3784	0.00625961	
75.6836	0.00620129	
75.9888	0.00618429	
76.2939	0.00616273	
76.5991	0.00613513	
76.9043	0.00611015	
77.2095	0.00608355	
77.5146	0.00606313	
77.8198	0.00603882	
78.125	0.00601627	
78.4302	0.0059943	
78.7354	0.00597455	
79.0405	0.00595365	
