Frequency(Hz)	Channel 1(V)	
0	0.00193993	
0.000488281	0.00274331	
0.000976563	0.00274282	
0.00146484	0.002742	
0.00195313	0.00274086	
0.00244141	0.0027394	
0.00292969	0.00273761	
0.00341797	0.0027355	
0.00390625	0.00273306	
0.00439453	0.00273029	
0.00488281	0.00272721	
0.00537109	0.0027238	
0.00585938	0.00272007	
0.00634766	0.00271601	
0.00683594	0.00271164	
0.00732422	0.00270694	
0.0078125	0.00270193	
0.00830078	0.0026966	
0.00878906	0.00269095	
0.00927734	0.00268498	
0.00976563	0.00267869	
0.0102539	0.0026721	
0.0107422	0.00266518	
0.0112305	0.00265796	
0.0117188	0.00265043	
0.012207	0.00264258	
0.0126953	0.00263443	
0.0131836	0.00262597	
0.0136719	0.0026172	
0.0141602	0.00260813	
0.0146484	0.00259876	
0.0151367	0.00258908	
0.015625	0.00257911	
0.0161133	0.00256884	
0.0166016	0.00255827	
0.0170898	0.00254741	
0.0175781	0.00253626	
0.0180664	0.00252481	
0.0185547	0.00251308	
0.019043	0.00250107	
0.0195313	0.00248876	
0.0200195	0.00247618	
0.0205078	0.00246332	
0.0209961	0.00245018	
0.0214844	0.00243676	
0.0219727	0.00242308	
0.0224609	0.00240912	
0.0229492	0.00239489	
0.0234375	0.0023804	
0.0239258	0.00236564	
0.0244141	0.00235063	
0.0249023	0.00233536	
0.0253906	0.00231983	
0.0258789	0.00230405	
0.0263672	0.00228803	
0.0268555	0.00227175	
0.0273438	0.00225524	
0.027832	0.00223848	
0.0283203	0.00222148	
0.0288086	0.00220425	
0.0292969	0.00218679	
0.0297852	0.00216911	
0.0302734	0.00215119	
0.0307617	0.00213306	
0.03125	0.00211471	
0.0317383	0.00209614	
0.0322266	0.00207736	
0.0327148	0.00205837	
0.0332031	0.00203918	
0.0336914	0.00201979	
0.0341797	0.0020002	
0.034668	0.00198042	
0.0351563	0.00196045	
0.0356445	0.00194029	
0.0361328	0.00191995	
0.0366211	0.00189943	
0.0371094	0.00187873	
0.0375977	0.00185787	
0.0380859	0.00183684	
0.0385742	0.00181564	
0.0390625	0.00179429	
0.0395508	0.00177278	
0.0400391	0.00175112	
0.0405273	0.00172931	
0.0410156	0.00170736	
0.0415039	0.00168527	
0.0419922	0.00166305	
0.0424805	0.0016407	
0.0429688	0.00161822	
0.043457	0.00159562	
0.0439453	0.0015729	
0.0444336	0.00155007	
0.0449219	0.00152714	
0.0454102	0.0015041	
0.0458984	0.00148096	
0.0463867	0.00145773	
0.046875	0.0014344	
0.0473633	0.00141099	
0.0478516	0.0013875	
0.0483398	0.00136394	
0.0488281	0.0013403	
0.0493164	0.0013166	
0.0498047	0.00129283	
0.050293	0.00126901	
0.0507813	0.00124513	
0.0512695	0.00122121	
0.0517578	0.00119724	
0.0522461	0.00117323	
0.0527344	0.00114919	
0.0532227	0.00112513	
0.0537109	0.00110104	
0.0541992	0.00107693	
0.0546875	0.0010528	
0.0551758	0.00102867	
0.0556641	0.00100454	
0.0561523	0.000980401	
0.0566406	0.000956273	
0.0571289	0.000932155	
0.0576172	0.000908054	
0.0581055	0.000883974	
0.0585938	0.000859921	
0.059082	0.000835899	
0.0595703	0.000811914	
0.0600586	0.00078797	
0.0605469	0.000764074	
0.0610352	0.00074023	
0.0615234	0.000716443	
0.0620117	0.00069272	
0.0625	0.000669064	
0.0629883	0.000645483	
0.0634766	0.000621981	
0.0639648	0.000598564	
0.0644531	0.000575238	
0.0649414	0.000552008	
0.0654297	0.000528881	
0.065918	0.000505864	
0.0664063	0.000482962	
0.0668945	0.000460183	
0.0673828	0.000437533	
0.0678711	0.000415021	
0.0683594	0.000392656	
0.0688477	0.000370445	
0.0693359	0.0003484	
0.0698242	0.000326533	
0.0703125	0.000304856	
0.0708008	0.000283387	
0.0712891	0.000262145	
0.0717773	0.000241154	
0.0722656	0.000220447	
0.0727539	0.000200066	
0.0732422	0.000180069	
0.0737305	0.000160539	
0.0742188	0.000141598	
0.074707	0.000123435	
0.0751953	0.00010635	
0.0756836	9.08335e-005	
0.0761719	7.76867e-005	
0.0766602	6.81279e-005	
0.0771484	6.36112e-005	
0.0776367	6.5014e-005	
0.078125	7.18266e-005	
0.0786133	8.25776e-005	
0.0791016	9.58253e-005	
0.0795898	0.000110565	
0.0800781	0.000126178	
0.0805664	0.000142287	
0.0810547	0.000158663	
0.081543	0.000175157	
0.0820313	0.000191672	
0.0825195	0.000208141	
0.0830078	0.000224516	
0.0834961	0.000240763	
0.0839844	0.000256854	
0.0844727	0.00027277	
0.0849609	0.000288495	
0.0854492	0.000304014	
0.0859375	0.000319318	
0.0864258	0.000334397	
0.0869141	0.000349243	
0.0874023	0.000363849	
0.0878906	0.00037821	
0.0883789	0.000392319	
0.0888672	0.000406173	
0.0893555	0.000419767	
0.0898438	0.000433096	
0.090332	0.000446157	
0.0908203	0.000458947	
0.0913086	0.000471462	
0.0917969	0.0004837	
0.0922852	0.000495658	
0.0927734	0.000507333	
0.0932617	0.000518723	
0.09375	0.000529826	
0.0942383	0.000540639	
0.0947266	0.000551161	
0.0952148	0.00056139	
0.0957031	0.000571323	
0.0961914	0.000580961	
0.0966797	0.0005903	
0.097168	0.000599341	
0.0976563	0.000608081	
0.0981445	0.000616519	
0.0986328	0.000624654	
0.0991211	0.000632486	
0.0996094	0.000640014	
0.100098	0.000647237	
0.100586	0.000654154	
0.101074	0.000660764	
0.101563	0.000667068	
0.102051	0.000673065	
0.102539	0.000678755	
0.103027	0.000684138	
0.103516	0.000689213	
0.104004	0.00069398	
0.104492	0.000698441	
0.10498	0.000702594	
0.105469	0.000706441	
0.105957	0.000709982	
0.106445	0.000713217	
0.106934	0.000716147	
0.107422	0.000718772	
0.10791	0.000721094	
0.108398	0.000723113	
0.108887	0.000724831	
0.109375	0.000726247	
0.109863	0.000727364	
0.110352	0.000728183	
0.11084	0.000728705	
0.111328	0.000728931	
0.111816	0.000728863	
0.112305	0.000728502	
0.112793	0.00072785	
0.113281	0.00072691	
0.11377	0.000725682	
0.114258	0.000724168	
0.114746	0.000722371	
0.115234	0.000720293	
0.115723	0.000717935	
0.116211	0.000715301	
0.116699	0.000712392	
0.117188	0.000709211	
0.117676	0.000705759	
0.118164	0.000702041	
0.118652	0.000698058	
0.119141	0.000693813	
0.119629	0.000689309	
0.120117	0.000684549	
0.120605	0.000679536	
0.121094	0.000674272	
0.121582	0.00066876	
0.12207	0.000663005	
0.122559	0.000657008	
0.123047	0.000650774	
0.123535	0.000644306	
0.124023	0.000637606	
0.124512	0.000630679	
0.125	0.000623528	
0.125488	0.000616156	
0.125977	0.000608568	
0.126465	0.000600766	
0.126953	0.000592755	
0.127441	0.000584539	
0.12793	0.000576121	
0.128418	0.000567505	
0.128906	0.000558696	
0.129395	0.000549697	
0.129883	0.000540512	
0.130371	0.000531146	
0.130859	0.000521602	
0.131348	0.000511885	
0.131836	0.000501999	
0.132324	0.000491949	
0.132813	0.000481739	
0.133301	0.000471372	
0.133789	0.000460855	
0.134277	0.00045019	
0.134766	0.000439383	
0.135254	0.000428438	
0.135742	0.00041736	
0.13623	0.000406153	
0.136719	0.000394823	
0.137207	0.000383372	
0.137695	0.000371808	
0.138184	0.000360133	
0.138672	0.000348354	
0.13916	0.000336474	
0.139648	0.000324499	
0.140137	0.000312433	
0.140625	0.000300282	
0.141113	0.000288051	
0.141602	0.000275744	
0.14209	0.000263367	
0.142578	0.000250924	
0.143066	0.000238422	
0.143555	0.000225865	
0.144043	0.00021326	
0.144531	0.000200611	
0.14502	0.000187926	
0.145508	0.000175209	
0.145996	0.000162469	
0.146484	0.000149713	
0.146973	0.000136948	
0.147461	0.000124186	
0.147949	0.000111439	
0.148438	9.8724e-005	
0.148926	8.60634e-005	
0.149414	7.34938e-005	
0.149902	6.1077e-005	
0.150391	4.89307e-005	
0.150879	3.73161e-005	
0.151367	2.69149e-005	
0.151855	1.97155e-005	
0.152344	1.95859e-005	
0.152832	2.65879e-005	
0.15332	3.68232e-005	
0.153809	4.82449e-005	
0.154297	6.01515e-005	
0.154785	7.22761e-005	
0.155273	8.44987e-005	
0.155762	9.6757e-005	
0.15625	0.000109015	
0.156738	0.000121249	
0.157227	0.000133443	
0.157715	0.000145585	
0.158203	0.000157666	
0.158691	0.000169677	
0.15918	0.000181611	
0.159668	0.000193463	
0.160156	0.000205227	
0.160645	0.000216898	
0.161133	0.000228471	
0.161621	0.000239942	
0.162109	0.000251305	
0.162598	0.000262558	
0.163086	0.000273695	
0.163574	0.000284713	
0.164063	0.000295608	
0.164551	0.000306376	
0.165039	0.000317015	
0.165527	0.000327519	
0.166016	0.000337886	
0.166504	0.000348113	
0.166992	0.000358196	
0.16748	0.000368132	
0.167969	0.000377918	
0.168457	0.00038755	
0.168945	0.000397027	
0.169434	0.000406345	
0.169922	0.000415501	
0.17041	0.000424493	
0.170898	0.000433318	
0.171387	0.000441974	
0.171875	0.000450457	
0.172363	0.000458766	
0.172852	0.000466899	
0.17334	0.000474853	
0.173828	0.000482626	
0.174316	0.000490215	
0.174805	0.00049762	
0.175293	0.000504838	
0.175781	0.000511867	
0.17627	0.000518706	
0.176758	0.000525353	
0.177246	0.000531806	
0.177734	0.000538064	
0.178223	0.000544126	
0.178711	0.00054999	
0.179199	0.000555655	
0.179688	0.000561119	
0.180176	0.000566383	
0.180664	0.000571445	
0.181152	0.000576304	
0.181641	0.000580959	
0.182129	0.00058541	
0.182617	0.000589656	
0.183105	0.000593697	
0.183594	0.000597531	
0.184082	0.00060116	
0.18457	0.000604582	
0.185059	0.000607797	
0.185547	0.000610806	
0.186035	0.000613608	
0.186523	0.000616204	
0.187012	0.000618593	
0.1875	0.000620777	
0.187988	0.000622754	
0.188477	0.000624527	
0.188965	0.000626095	
0.189453	0.00062746	
0.189941	0.000628621	
0.19043	0.00062958	
0.190918	0.000630337	
0.191406	0.000630894	
0.191895	0.000631252	
0.192383	0.000631413	
0.192871	0.000631376	
0.193359	0.000631144	
0.193848	0.000630718	
0.194336	0.0006301	
0.194824	0.000629292	
0.195313	0.000628294	
0.195801	0.00062711	
0.196289	0.000625741	
0.196777	0.000624188	
0.197266	0.000622455	
0.197754	0.000620543	
0.198242	0.000618455	
0.19873	0.000616193	
0.199219	0.000613759	
0.199707	0.000611156	
0.200195	0.000608388	
0.200684	0.000605456	
0.201172	0.000602363	
0.20166	0.000599113	
0.202148	0.000595709	
0.202637	0.000592153	
0.203125	0.000588449	
0.203613	0.000584601	
0.204102	0.000580611	
0.20459	0.000576485	
0.205078	0.000572224	
0.205566	0.000567833	
0.206055	0.000563316	
0.206543	0.000558677	
0.207031	0.000553919	
0.20752	0.000549049	
0.208008	0.000544068	
0.208496	0.000538983	
0.208984	0.000533798	
0.209473	0.000528517	
0.209961	0.000523145	
0.210449	0.000517687	
0.210938	0.00051215	
0.211426	0.000506536	
0.211914	0.000500853	
0.212402	0.000495106	
0.212891	0.0004893	
0.213379	0.000483442	
0.213867	0.000477537	
0.214355	0.000471591	
0.214844	0.000465612	
0.215332	0.000459605	
0.21582	0.000453578	
0.216309	0.000447537	
0.216797	0.00044149	
0.217285	0.000435444	
0.217773	0.000429406	
0.218262	0.000423384	
0.21875	0.000417386	
0.219238	0.000411421	
0.219727	0.000405497	
0.220215	0.000399622	
0.220703	0.000393806	
0.221191	0.000388057	
0.22168	0.000382385	
0.222168	0.000376799	
0.222656	0.000371309	
0.223145	0.000365925	
0.223633	0.000360656	
0.224121	0.000355513	
0.224609	0.000350505	
0.225098	0.000345644	
0.225586	0.000340939	
0.226074	0.000336401	
0.226563	0.00033204	
0.227051	0.000327865	
0.227539	0.000323887	
0.228027	0.000320115	
0.228516	0.000316558	
0.229004	0.000313224	
0.229492	0.000310123	
0.22998	0.000307261	
0.230469	0.000304645	
0.230957	0.000302281	
0.231445	0.000300175	
0.231934	0.000298331	
0.232422	0.000296751	
0.23291	0.000295438	
0.233398	0.000294393	
0.233887	0.000293616	
0.234375	0.000293106	
0.234863	0.00029286	
0.235352	0.000292875	
0.23584	0.000293147	
0.236328	0.000293669	
0.236816	0.000294435	
0.237305	0.000295438	
0.237793	0.00029667	
0.238281	0.000298121	
0.23877	0.000299782	
0.239258	0.000301643	
0.239746	0.000303694	
0.240234	0.000305923	
0.240723	0.00030832	
0.241211	0.000310873	
0.241699	0.000313571	
0.242188	0.000316403	
0.242676	0.000319356	
0.243164	0.000322421	
0.243652	0.000325586	
0.244141	0.00032884	
