Interval=	0.001 s
ExcelDateTime=	4.3735398023912865e+004	9/27/2019 9:33:09.266072
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	20.000 mV
1.48	0.588125
1.481	0.588125
1.482	0.588125
1.483	0.588125
1.484	0.588125
1.485	0.588125
1.486	0.588125
1.487	0.588125
1.488	0.588125
1.489	0.588125
1.49	0.588125
1.491	0.588125
1.492	0.588125
1.493	0.588125
1.494	0.588125
1.495	0.588125
1.496	0.588125
1.497	0.588125
1.498	0.5875
1.499	0.5875
1.5	0.586875
1.501	0.58625
1.502	0.585625
1.503	0.585625
1.504	0.584375
1.505	0.58375
1.506	0.58375
1.507	0.583125
1.508	0.583125
1.509	0.583125
1.51	0.583125
1.511	0.583125
1.512	0.583125
1.513	0.583125
1.514	0.58375
1.515	0.58375
1.516	0.58375
1.517	0.584375
1.518	0.584375
1.519	0.584375
1.52	0.584375
1.521	0.584375
1.522	0.58375
1.523	0.58375
1.524	0.583125
1.525	0.583125
1.526	0.581875
1.527	0.581875
1.528	0.58125
1.529	0.580625
1.53	0.58
1.531	0.579375
1.532	0.57875
1.533	0.578125
1.534	0.5775
1.535	0.576875
1.536	0.57625
1.537	0.575625
1.538	0.575625
1.539	0.574375
1.54	0.574375
1.541	0.57375
1.542	0.573125
1.543	0.573125
1.544	0.5725
1.545	0.571875
1.546	0.571875
1.547	0.57125
1.548	0.57125
1.549	0.570625
1.55	0.570625
1.551	0.570625
1.552	0.57
1.553	0.57
1.554	0.57
1.555	0.57
1.556	0.57
1.557	0.57
1.558	0.570625
1.559	0.570625
1.56	0.57125
1.561	0.571875
1.562	0.571875
1.563	0.573125
1.564	0.573125
1.565	0.57375
1.566	0.574375
1.567	0.574375
1.568	0.575625
1.569	0.575625
1.57	0.576875
1.571	0.5775
1.572	0.578125
1.573	0.57875
1.574	0.58
1.575	0.58
1.576	0.580625
1.577	0.581875
1.578	0.581875
1.579	0.581875
1.58	0.5825
1.581	0.5825
1.582	0.5825
1.583	0.5825
1.584	0.5825
1.585	0.581875
1.586	0.581875
1.587	0.58125
1.588	0.58
1.589	0.58
1.59	0.57875
1.591	0.578125
1.592	0.5775
1.593	0.576875
1.594	0.57625
1.595	0.575625
1.596	0.575
1.597	0.574375
1.598	0.57375
1.599	0.5725
1.6	0.571875
1.601	0.57125
1.602	0.570625
1.603	0.569375
1.604	0.568125
1.605	0.5675
1.606	0.566875
1.607	0.565
1.608	0.564375
1.609	0.5625
1.61	0.561875
1.611	0.560625
1.612	0.56
1.613	0.558125
1.614	0.5575
1.615	0.556875
1.616	0.555
1.617	0.554375
1.618	0.5525
1.619	0.55125
1.62	0.550625
1.621	0.54875
1.622	0.548125
1.623	0.54625
1.624	0.545625
1.625	0.545
1.626	0.54375
1.627	0.5425
1.628	0.541875
1.629	0.54125
1.63	0.540625
1.631	0.54
1.632	0.539375
1.633	0.53875
1.634	0.53875
1.635	0.53875
1.636	0.53875
1.637	0.53875
1.638	0.539375
1.639	0.54
1.64	0.54
1.641	0.54125
1.642	0.541875
1.643	0.543125
1.644	0.54375
1.645	0.544375
1.646	0.54625
1.647	0.5475
1.648	0.548125
1.649	0.55
1.65	0.550625
1.651	0.55125
1.652	0.5525
1.653	0.55375
1.654	0.554375
1.655	0.555
1.656	0.55625
1.657	0.55625
1.658	0.5575
1.659	0.558125
1.66	0.558125
1.661	0.55875
1.662	0.55875
1.663	0.559375
1.664	0.56
1.665	0.56
1.666	0.560625
1.667	0.560625
1.668	0.560625
1.669	0.56125
1.67	0.56125
1.671	0.56125
1.672	0.56125
1.673	0.560625
1.674	0.560625
1.675	0.560625
1.676	0.560625
1.677	0.560625
1.678	0.560625
1.679	0.560625
1.68	0.560625
1.681	0.560625
