Interval=	0.001 s
ExcelDateTime=	4.3735397277095275e+004	9/27/2019 9:32:04.741031
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	20.000 mV
2.605	0.74125
2.606	0.74125
2.607	0.74125
2.608	0.74125
2.609	0.74125
2.61	0.740625
2.611	0.740625
2.612	0.74
2.613	0.74
2.614	0.739375
2.615	0.73875
2.616	0.73875
2.617	0.738125
2.618	0.738125
2.619	0.7375
2.62	0.736875
2.621	0.73625
2.622	0.73625
2.623	0.73625
2.624	0.735625
2.625	0.735625
2.626	0.735625
2.627	0.735625
2.628	0.735625
2.629	0.73625
2.63	0.73625
2.631	0.73625
2.632	0.736875
2.633	0.736875
2.634	0.7375
2.635	0.7375
2.636	0.738125
2.637	0.738125
2.638	0.73875
2.639	0.73875
2.64	0.739375
2.641	0.739375
2.642	0.739375
2.643	0.74
2.644	0.74
2.645	0.74
2.646	0.74
2.647	0.74
2.648	0.74
2.649	0.74
2.65	0.74
2.651	0.74
2.652	0.74
2.653	0.74
2.654	0.74
2.655	0.74
2.656	0.74
2.657	0.74
2.658	0.74
2.659	0.74
2.66	0.74
2.661	0.74
2.662	0.74
2.663	0.740625
2.664	0.740625
2.665	0.74125
2.666	0.74125
2.667	0.74125
2.668	0.741875
2.669	0.741875
2.67	0.741875
2.671	0.741875
2.672	0.741875
2.673	0.741875
2.674	0.741875
2.675	0.741875
2.676	0.741875
2.677	0.741875
2.678	0.741875
2.679	0.741875
2.68	0.74125
2.681	0.74125
2.682	0.74125
2.683	0.740625
2.684	0.740625
2.685	0.740625
2.686	0.74125
2.687	0.74125
2.688	0.74125
2.689	0.74125
2.69	0.74125
2.691	0.74125
2.692	0.74125
2.693	0.74125
2.694	0.74125
2.695	0.74125
2.696	0.74125
2.697	0.74125
2.698	0.74125
2.699	0.74125
2.7	0.74125
2.701	0.740625
2.702	0.740625
2.703	0.74
2.704	0.74
2.705	0.74
2.706	0.739375
2.707	0.739375
2.708	0.73875
2.709	0.73875
2.71	0.73875
2.711	0.738125
2.712	0.738125
2.713	0.738125
2.714	0.7375
2.715	0.7375
2.716	0.7375
2.717	0.736875
2.718	0.736875
2.719	0.73625
2.72	0.73625
2.721	0.73625
2.722	0.735625
2.723	0.735625
2.724	0.735
2.725	0.735
2.726	0.735
2.727	0.734375
2.728	0.734375
2.729	0.735
2.73	0.735
2.731	0.735
2.732	0.735
2.733	0.735
2.734	0.735
2.735	0.735625
2.736	0.735625
2.737	0.735625
2.738	0.73625
2.739	0.73625
2.74	0.73625
2.741	0.73625
2.742	0.736875
2.743	0.736875
2.744	0.736875
2.745	0.736875
2.746	0.736875
2.747	0.73625
2.748	0.73625
2.749	0.73625
2.75	0.73625
2.751	0.736875
2.752	0.736875
2.753	0.736875
2.754	0.736875
2.755	0.736875
2.756	0.736875
2.757	0.7375
2.758	0.7375
2.759	0.7375
2.76	0.738125
2.761	0.738125
2.762	0.73875
2.763	0.739375
2.764	0.739375
2.765	0.74
2.766	0.74
2.767	0.740625
2.768	0.74125
2.769	0.741875
2.77	0.741875
2.771	0.741875
2.772	0.7425
2.773	0.7425
2.774	0.741875
2.775	0.741875
2.776	0.741875
2.777	0.741875
2.778	0.741875
2.779	0.74125
2.78	0.74125
2.781	0.740625
2.782	0.74
2.783	0.739375
2.784	0.739375
2.785	0.73875
2.786	0.738125
2.787	0.738125
2.788	0.7375
2.789	0.736875
2.79	0.73625
2.791	0.73625
2.792	0.73625
2.793	0.735625
2.794	0.735
2.795	0.735
2.796	0.734375
2.797	0.734375
2.798	0.73375
2.799	0.73375
2.8	0.733125
2.801	0.733125
2.802	0.733125
2.803	0.7325
2.804	0.7325
2.805	0.7325
2.806	0.7325
2.807	0.731875
2.808	0.731875
2.809	0.731875
2.81	0.731875
2.811	0.731875
2.812	0.731875
2.813	0.731875
2.814	0.731875
2.815	0.73125
2.816	0.73125
2.817	0.73125
2.818	0.730625
2.819	0.730625
2.82	0.73
2.821	0.729375
2.822	0.72875
2.823	0.72875
2.824	0.728125
2.825	0.7275
2.826	0.7275
2.827	0.72625
2.828	0.72625
2.829	0.72625
2.83	0.725625
2.831	0.725625
2.832	0.725
2.833	0.725
2.834	0.725
2.835	0.725
2.836	0.725
2.837	0.725
2.838	0.725
2.839	0.725625
2.84	0.725625
2.841	0.725625
2.842	0.72625
2.843	0.72625
2.844	0.726875
2.845	0.7275
2.846	0.728125
2.847	0.728125
2.848	0.72875
2.849	0.73
2.85	0.73
2.851	0.730625
2.852	0.73125
2.853	0.73125
2.854	0.731875
2.855	0.7325
2.856	0.7325
2.857	0.733125
2.858	0.733125
2.859	0.733125
2.86	0.733125
2.861	0.733125
2.862	0.733125
2.863	0.7325
2.864	0.7325
2.865	0.7325
2.866	0.731875
2.867	0.731875
2.868	0.73125
2.869	0.73125
2.87	0.730625
2.871	0.730625
2.872	0.730625
2.873	0.73
2.874	0.73
2.875	0.73
2.876	0.73
2.877	0.73
2.878	0.73
2.879	0.73
2.88	0.73
2.881	0.73
2.882	0.73
2.883	0.730625
2.884	0.730625
2.885	0.730625
2.886	0.730625
2.887	0.730625
2.888	0.73125
2.889	0.73125
2.89	0.731875
2.891	0.731875
2.892	0.731875
2.893	0.7325
2.894	0.7325
2.895	0.733125
2.896	0.73375
2.897	0.73375
2.898	0.734375
2.899	0.735
2.9	0.735
2.901	0.735625
2.902	0.735625
2.903	0.73625
2.904	0.736875
2.905	0.736875
2.906	0.7375
2.907	0.7375
2.908	0.738125
2.909	0.738125
2.91	0.73875
2.911	0.73875
2.912	0.73875
2.913	0.739375
2.914	0.739375
2.915	0.739375
2.916	0.739375
2.917	0.739375
2.918	0.739375
2.919	0.739375
2.92	0.739375
2.921	0.739375
2.922	0.739375
2.923	0.73875
2.924	0.73875
2.925	0.73875
2.926	0.73875
2.927	0.73875
2.928	0.73875
2.929	0.73875
2.93	0.738125
2.931	0.738125
2.932	0.738125
2.933	0.7375
2.934	0.7375
2.935	0.736875
2.936	0.73625
2.937	0.73625
2.938	0.735625
2.939	0.735
2.94	0.735
2.941	0.734375
2.942	0.73375
2.943	0.73375
2.944	0.733125
2.945	0.733125
2.946	0.733125
2.947	0.7325
2.948	0.7325
2.949	0.7325
2.95	0.731875
2.951	0.731875
2.952	0.731875
2.953	0.731875
2.954	0.731875
2.955	0.73125
2.956	0.73125
2.957	0.73125
2.958	0.73125
2.959	0.731875
2.96	0.731875
2.961	0.731875
2.962	0.731875
2.963	0.731875
2.964	0.731875
2.965	0.731875
2.966	0.731875
2.967	0.7325
2.968	0.7325
2.969	0.7325
2.97	0.733125
2.971	0.733125
2.972	0.733125
2.973	0.73375
2.974	0.73375
2.975	0.734375
2.976	0.734375
2.977	0.734375
2.978	0.735
2.979	0.735
2.98	0.735
2.981	0.735625
2.982	0.735625
2.983	0.735625
2.984	0.735625
2.985	0.735
2.986	0.735
2.987	0.735
2.988	0.735
2.989	0.735
2.99	0.735
2.991	0.735
2.992	0.734375
2.993	0.734375
2.994	0.734375
2.995	0.73375
2.996	0.73375
2.997	0.73375
2.998	0.733125
2.999	0.733125
3	0.733125
3.001	0.733125
3.002	0.733125
3.003	0.733125
3.004	0.733125
3.005	0.7325
3.006	0.7325
3.007	0.7325
3.008	0.7325
3.009	0.7325
3.01	0.7325
3.011	0.7325
3.012	0.7325
3.013	0.7325
3.014	0.7325
3.015	0.7325
3.016	0.7325
3.017	0.7325
3.018	0.731875
3.019	0.731875
3.02	0.7325
3.021	0.7325
3.022	0.7325
3.023	0.7325
3.024	0.733125
3.025	0.733125
3.026	0.733125
3.027	0.73375
3.028	0.73375
3.029	0.734375
3.03	0.734375
3.031	0.734375
3.032	0.735
3.033	0.735
3.034	0.734375
3.035	0.734375
3.036	0.734375
3.037	0.734375
3.038	0.73375
3.039	0.73375
3.04	0.733125
3.041	0.733125
3.042	0.7325
3.043	0.7325
3.044	0.7325
3.045	0.731875
3.046	0.731875
3.047	0.731875
3.048	0.7325
3.049	0.7325
3.05	0.7325
3.051	0.7325
3.052	0.7325
3.053	0.7325
3.054	0.7325
3.055	0.7325
3.056	0.7325
3.057	0.7325
3.058	0.7325
3.059	0.7325
3.06	0.7325
3.061	0.733125
3.062	0.73375
3.063	0.734375
3.064	0.735625
3.065	0.73625
3.066	0.738125
3.067	0.739375
3.068	0.74125
3.069	0.74375
3.07	0.746875
3.071	0.749375
3.072	0.7525
3.073	0.755625
3.074	0.759375
3.075	0.76375
3.076	0.768125
3.077	0.771875
3.078	0.77625
3.079	0.780625
3.08	0.785625
3.081	0.79
3.082	0.795
3.083	0.799375
3.084	0.804375
3.085	0.809375
3.086	0.814375
3.087	0.819375
3.088	0.82375
3.089	0.829375
3.09	0.834375
3.091	0.839375
3.092	0.844375
3.093	0.849375
3.094	0.854375
3.095	0.859375
3.096	0.865
3.097	0.87
3.098	0.875
3.099	0.880625
3.1	0.885625
3.101	0.890625
3.102	0.895625
3.103	0.900625
3.104	0.905625
3.105	0.91125
3.106	0.915625
3.107	0.920625
3.108	0.925625
3.109	0.930625
3.11	0.935625
3.111	0.94
3.112	0.944375
3.113	0.94875
3.114	0.953125
3.115	0.9575
3.116	0.96125
3.117	0.964375
3.118	0.968125
3.119	0.970625
3.12	0.974375
3.121	0.976875
3.122	0.979375
3.123	0.981875
3.124	0.98375
3.125	0.985625
3.126	0.986875
3.127	0.98875
3.128	0.99
3.129	0.990625
3.13	0.99125
3.131	0.9925
3.132	0.9925
3.133	0.993125
3.134	0.993125
3.135	0.9925
3.136	0.9925
3.137	0.9925
3.138	0.991875
3.139	0.99125
3.14	0.990625
3.141	0.99
3.142	0.989375
3.143	0.989375
3.144	0.988125
3.145	0.988125
3.146	0.986875
3.147	0.986875
3.148	0.98625
3.149	0.985625
3.15	0.985
3.151	0.985
3.152	0.985
3.153	0.984375
3.154	0.984375
3.155	0.984375
3.156	0.984375
3.157	0.98375
3.158	0.98375
3.159	0.98375
3.16	0.98375
3.161	0.98375
3.162	0.983125
3.163	0.983125
3.164	0.983125
3.165	0.983125
3.166	0.9825
3.167	0.9825
3.168	0.9825
3.169	0.981875
3.17	0.981875
3.171	0.981875
3.172	0.98125
3.173	0.98125
3.174	0.98125
3.175	0.98125
3.176	0.980625
3.177	0.980625
3.178	0.980625
3.179	0.98125
3.18	0.98125
3.181	0.98125
3.182	0.98125
3.183	0.98125
3.184	0.98125
3.185	0.98125
3.186	0.98125
3.187	0.98125
3.188	0.98125
3.189	0.981875
3.19	0.981875
3.191	0.981875
3.192	0.9825
3.193	0.9825
3.194	0.983125
3.195	0.983125
3.196	0.98375
3.197	0.984375
3.198	0.984375
3.199	0.984375
3.2	0.985
3.201	0.985
3.202	0.985
3.203	0.985
3.204	0.985
3.205	0.985
3.206	0.985
3.207	0.985
3.208	0.984375
3.209	0.984375
3.21	0.98375
3.211	0.98375
3.212	0.98375
3.213	0.98375
3.214	0.98375
3.215	0.98375
3.216	0.98375
3.217	0.984375
3.218	0.984375
3.219	0.984375
3.22	0.985
3.221	0.985
3.222	0.985
3.223	0.985
3.224	0.985
3.225	0.985
3.226	0.984375
3.227	0.984375
3.228	0.984375
3.229	0.98375
3.23	0.98375
3.231	0.983125
3.232	0.983125
3.233	0.9825
3.234	0.981875
3.235	0.981875
3.236	0.98125
3.237	0.98125
3.238	0.980625
3.239	0.98
3.24	0.98
3.241	0.979375
3.242	0.979375
3.243	0.979375
3.244	0.97875
3.245	0.97875
3.246	0.97875
3.247	0.97875
3.248	0.979375
3.249	0.979375
3.25	0.979375
3.251	0.98
3.252	0.98
3.253	0.98
3.254	0.980625
3.255	0.98125
3.256	0.981875
3.257	0.9825
3.258	0.983125
3.259	0.983125
3.26	0.98375
3.261	0.984375
3.262	0.984375
3.263	0.985
3.264	0.985
3.265	0.984375
3.266	0.984375
3.267	0.984375
3.268	0.984375
3.269	0.983125
3.27	0.983125
3.271	0.9825
3.272	0.981875
3.273	0.98125
3.274	0.980625
3.275	0.98
3.276	0.97875
3.277	0.97875
3.278	0.9775
3.279	0.976875
