Interval=	0.001 s
ExcelDateTime=	4.1949660795945041e+004	11/6/2014 15:51:32.769652
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2
Range=	20.000 mV	10.000 V
0.25	-2.351	0.000
0.251	-2.349	0.000
0.252	-2.351	0.000
0.253	-2.355	0.000
0.254	-2.362	0.000
0.255	-2.370	0.000
0.256	-2.378	0.000
0.257	-2.386	0.000
0.258	-2.392	0.000
0.259	-2.396	0.000
0.26	-2.396	0.000
0.261	-2.393	0.000
0.262	-2.388	0.000
0.263	-2.381	0.000
0.264	-2.373	0.000
0.265	-2.366	0.000
0.266	-2.359	0.000
0.267	-2.356	0.000
0.268	-2.354	0.000
0.269	-2.356	0.000
0.27	-2.361	0.000
0.271	-2.368	0.000
0.272	-2.375	0.000
0.273	-2.382	0.000
0.274	-2.389	0.000
0.275	-2.394	0.000
0.276	-2.396	0.000
0.277	-2.394	0.000
0.278	-2.391	0.000
0.279	-2.384	0.000
0.28	-2.377	0.000
0.281	-2.369	0.000
0.282	-2.361	0.000
0.283	-2.356	0.000
0.284	-2.353	0.000
0.285	-2.353	0.000
0.286	-2.355	0.000
0.287	-2.361	0.000
0.288	-2.368	0.000
0.289	-2.376	0.000
0.29	-2.383	0.000
0.291	-2.389	0.000
0.292	-2.394	0.000
0.293	-2.395	0.000
0.294	-2.393	0.000
0.295	-2.388	0.000
0.296	-2.382	0.000
0.297	-2.374	0.000
0.298	-2.366	0.000
0.299	-2.359	0.000
0.3	-2.354	0.000
0.301	-2.353	0.000
0.302	-2.353	0.000
0.303	-2.356	0.000
0.304	-2.362	0.000
0.305	-2.369	0.000
0.306	-2.376	0.000
0.307	-2.383	0.000
0.308	-2.388	0.000
0.309	-2.391	0.000
0.31	-2.391	0.000
0.311	-2.388	0.000
0.312	-2.382	0.000
0.313	-2.374	0.000
0.314	-2.366	0.000
0.315	-2.358	0.000
0.316	-2.352	0.000
0.317	-2.348	0.000
0.318	-2.346	0.000
0.319	-2.348	0.000
0.32	-2.353	0.000
0.321	-2.359	0.000
0.322	-2.366	0.000
0.323	-2.374	0.000
0.324	-2.381	0.000
0.325	-2.386	0.000
0.326	-2.388	0.000
0.327	-2.387	0.000
0.328	-2.384	0.000
0.329	-2.378	0.000
0.33	-2.371	0.000
0.331	-2.364	0.000
0.332	-2.357	0.000
0.333	-2.353	0.000
0.334	-2.350	0.000
0.335	-2.350	0.000
0.336	-2.353	0.000
0.337	-2.357	0.000
0.338	-2.365	0.000
0.339	-2.373	0.000
0.34	-2.380	0.000
0.341	-2.386	0.000
0.342	-2.389	0.000
0.343	-2.390	0.000
0.344	-2.388	0.000
0.345	-2.384	0.000
0.346	-2.377	0.000
0.347	-2.369	0.000
0.348	-2.362	0.000
0.349	-2.355	0.000
0.35	-2.351	0.000
0.351	-2.349	0.000
0.352	-2.349	0.000
0.353	-2.353	0.000
0.354	-2.358	0.000
0.355	-2.365	0.000
0.356	-2.373	0.000
0.357	-2.379	0.000
0.358	-2.384	0.000
0.359	-2.388	0.000
0.36	-2.388	0.000
0.361	-2.386	0.000
0.362	-2.381	0.000
0.363	-2.374	0.000
0.364	-2.367	0.000
0.365	-2.360	0.000
0.366	-2.354	0.000
0.367	-2.351	0.000
0.368	-2.350	0.000
0.369	-2.352	0.000
0.37	-2.356	0.000
0.371	-2.363	0.000
0.372	-2.369	0.000
0.373	-2.377	0.000
0.374	-2.383	0.000
0.375	-2.388	0.000
0.376	-2.389	0.000
0.377	-2.388	0.000
0.378	-2.385	0.000
0.379	-2.379	0.000
