Interval=	0.001 s
ExcelDateTime=	4.1949665459635347e+004	11/6/2014 15:58:15.712494
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2
Range=	20.000 mV	10.000 V
0.13	-2.386	0.000
0.131	-2.389	0.000
0.132	-2.396	0.000
0.133	-2.403	0.000
0.134	-2.411	0.000
0.135	-2.419	0.000
0.136	-2.424	0.000
0.137	-2.427	0.000
0.138	-2.426	0.000
0.139	-2.423	0.000
0.14	-2.418	0.000
0.141	-2.410	0.000
0.142	-2.402	0.000
0.143	-2.394	0.000
0.144	-2.388	0.000
0.145	-2.384	0.000
0.146	-2.382	0.000
0.147	-2.384	0.000
0.148	-2.389	0.000
0.149	-2.396	0.000
0.15	-2.404	0.000
0.151	-2.412	0.000
0.152	-2.419	0.000
0.153	-2.423	0.000
0.154	-2.426	0.000
0.155	-2.424	0.000
0.156	-2.420	0.000
0.157	-2.414	0.000
0.158	-2.406	0.000
0.159	-2.399	0.000
0.16	-2.391	0.000
0.161	-2.386	0.000
0.162	-2.383	0.000
0.163	-2.383	0.000
0.164	-2.386	0.000
0.165	-2.392	0.000
0.166	-2.399	0.000
0.167	-2.407	0.000
0.168	-2.414	0.000
0.169	-2.420	0.000
0.17	-2.424	0.000
0.171	-2.425	0.000
0.172	-2.422	0.000
0.173	-2.418	0.000
0.174	-2.411	0.000
0.175	-2.403	0.000
0.176	-2.396	0.000
0.177	-2.389	0.000
0.178	-2.384	0.000
0.179	-2.383	0.000
0.18	-2.384	0.000
0.181	-2.388	0.000
0.182	-2.394	0.000
0.183	-2.402	0.000
0.184	-2.409	0.000
0.185	-2.417	0.000
0.186	-2.422	0.000
0.187	-2.425	0.000
0.188	-2.425	0.000
0.189	-2.422	0.000
0.19	-2.416	0.000
0.191	-2.409	0.000
0.192	-2.402	0.000
0.193	-2.394	0.000
0.194	-2.389	0.000
0.195	-2.385	0.000
0.196	-2.384	0.000
0.197	-2.386	0.000
0.198	-2.391	0.000
0.199	-2.398	0.000
0.2	-2.405	0.000
0.201	-2.413	0.000
0.202	-2.419	0.000
0.203	-2.423	0.000
0.204	-2.425	0.000
0.205	-2.424	0.000
0.206	-2.420	0.000
0.207	-2.414	0.000
0.208	-2.406	0.000
0.209	-2.399	0.000
0.21	-2.392	0.000
0.211	-2.387	0.000
0.212	-2.384	0.000
0.213	-2.384	0.000
0.214	-2.388	0.000
0.215	-2.393	0.000
0.216	-2.400	0.000
0.217	-2.408	0.000
0.218	-2.415	0.000
0.219	-2.421	0.000
0.22	-2.424	0.000
0.221	-2.425	0.000
0.222	-2.422	0.000
0.223	-2.418	0.000
0.224	-2.412	0.000
0.225	-2.404	0.000
0.226	-2.397	0.000
0.227	-2.391	0.000
0.228	-2.386	0.000
0.229	-2.384	0.000
0.23	-2.386	0.000
0.231	-2.389	0.000
0.232	-2.395	0.000
0.233	-2.402	0.000
0.234	-2.410	0.000
0.235	-2.416	0.000
0.236	-2.422	0.000
0.237	-2.424	0.000
0.238	-2.424	0.000
0.239	-2.421	0.000
0.24	-2.416	0.000
0.241	-2.409	0.000
0.242	-2.402	0.000
0.243	-2.394	0.000
0.244	-2.389	0.000
0.245	-2.386	0.000
0.246	-2.386	0.000
0.247	-2.388	0.000
0.248	-2.393	0.000
0.249	-2.399	0.000
0.25	-2.406	0.000
0.251	-2.414	0.000
0.252	-2.420	0.000
0.253	-2.424	0.000
0.254	-2.426	0.000
0.255	-2.424	0.000
0.256	-2.421	0.000
0.257	-2.415	0.000
0.258	-2.408	0.000
0.259	-2.401	0.000
0.26	-2.394	0.000
0.261	-2.389	0.000
0.262	-2.388	0.000
0.263	-2.388	0.000
0.264	-2.391	0.000
0.265	-2.396	0.000
0.266	-2.402	0.000
0.267	-2.409	0.000
