Interval=	0.001 s
ExcelDateTime=	4.1949666476496997e+004	11/6/2014 15:59:43.569341
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2
Range=	20.000 mV	10.000 V
0.39	-2.808	-0.000
0.391	-2.815	-0.000
0.392	-2.820	-0.000
0.393	-2.823	-0.001
0.394	-2.824	-0.001
0.395	-2.823	-0.001
0.396	-2.820	-0.001
0.397	-2.815	-0.001
0.398	-2.809	-0.001
0.399	-2.804	-0.001
0.4	-2.799	-0.001
0.401	-2.797	-0.001
0.402	-2.797	-0.001
0.403	-2.799	-0.001
0.404	-2.804	-0.001
0.405	-2.809	-0.001
0.406	-2.816	-0.001
0.407	-2.823	-0.001
0.408	-2.828	-0.001
0.409	-2.832	-0.000
0.41	-2.833	-0.000
0.411	-2.833	-0.000
0.412	-2.830	-0.000
0.413	-2.825	-0.000
0.414	-2.818	-0.000
0.415	-2.813	-0.001
0.416	-2.806	-0.001
0.417	-2.802	-0.001
0.418	-2.799	-0.001
0.419	-2.799	-0.001
0.42	-2.801	-0.001
0.421	-2.804	-0.001
0.422	-2.809	-0.001
0.423	-2.815	-0.001
0.424	-2.820	-0.001
0.425	-2.824	-0.001
0.426	-2.827	-0.001
0.427	-2.827	-0.001
0.428	-2.824	-0.001
0.429	-2.820	-0.001
0.43	-2.814	-0.001
0.431	-2.808	-0.001
0.432	-2.800	-0.000
0.433	-2.794	-0.000
0.434	-2.789	-0.000
0.435	-2.787	-0.000
0.436	-2.787	-0.000
0.437	-2.789	-0.001
0.438	-2.793	-0.001
0.439	-2.797	-0.001
0.44	-2.803	-0.001
0.441	-2.807	-0.001
0.442	-2.810	-0.001
0.443	-2.811	-0.001
0.444	-2.810	-0.001
0.445	-2.807	-0.001
0.446	-2.801	-0.001
0.447	-2.794	-0.001
0.448	-2.788	-0.001
0.449	-2.780	-0.001
0.45	-2.774	-0.001
0.451	-2.769	-0.001
0.452	-2.768	-0.001
0.453	-2.768	-0.000
0.454	-2.769	-0.000
0.455	-2.773	-0.000
0.456	-2.777	-0.000
0.457	-2.781	-0.000
0.458	-2.784	-0.000
0.459	-2.786	-0.000
0.46	-2.786	-0.001
0.461	-2.784	-0.001
0.462	-2.779	-0.001
0.463	-2.774	-0.001
0.464	-2.766	-0.001
0.465	-2.759	-0.001
0.466	-2.752	-0.001
0.467	-2.746	-0.001
0.468	-2.743	-0.001
0.469	-2.741	-0.001
0.47	-2.743	-0.001
0.471	-2.745	-0.001
0.472	-2.749	-0.001
0.473	-2.754	-0.001
0.474	-2.759	-0.001
0.475	-2.763	-0.001
0.476	-2.764	-0.000
0.477	-2.764	-0.000
0.478	-2.761	-0.000
0.479	-2.756	-0.000
0.48	-2.750	-0.000
0.481	-2.743	-0.000
0.482	-2.735	-0.001
0.483	-2.728	-0.001
0.484	-2.723	-0.001
0.485	-2.719	-0.001
0.486	-2.718	-0.001
0.487	-2.718	-0.001
